-63	0.577351
-62	0.755598
-61	0.647289
-60	0.962907
-59	1.11081
-58	1.24543
-57	1.36688
-56	2.83022
-55	21.8896
-54	37.6723
-53	52.0843
-52	65.5149
-51	77.8135
-50	89.077
-49	98.1108
-48	106.838
-47	114.989
-46	122.434
-45	127.603
-44	131.126
-43	134.528
-42	138.201
-41	142.063
-40	146.193
-39	149.736
-38	153.621
-37	157.182
-36	159.72
-35	160.767
-34	159.533
-33	157.033
-32	153.612
-31	149.601
-30	145.341
-29	141.552
-28	137.93
-27	133.918
-26	130.165
-25	126.943
-24	124.15
-23	121.875
-22	120.006
-21	118.368
-20	117.025
-19	116.524
-18	116.933
-17	117.243
-16	117.146
-15	116.471
-14	115.208
-13	113.232
-12	110.275
-11	106.017
-10	100.105
-9	92.7557
-8	84.2595
-7	74.9999
-6	65.0021
-5	54.3931
-4	43.0649
-3	30.7712
-2	17.4139
-1	4.22404
0	14.4983
1	28.3731
2	40.9652
3	52.6691
4	63.547
5	73.6195
6	82.8527
7	91.5002
8	99.4118
9	106.078
10	111.194
11	114.829
12	117.438
13	119.221
14	120.279
15	121.034
16	121.239
17	121.205
18	121.192
19	121.968
20	123.608
21	125.584
22	127.754
23	130.213
24	132.89
25	136.384
26	139.976
27	143.281
28	145.975
29	148.472
30	151.622
31	154.572
32	157.013
33	158.793
34	159.466
35	158.141
36	155.051
37	151.267
38	147.471
39	143.578
40	139.835
41	136.121
42	132.509
43	129.055
44	125.406
45	120.295
46	112.92
47	104.883
48	96.2213
49	86.7443
50	75.9859
51	63.9159
52	50.832
53	36.3124
54	21.2619
55	4.46549
56	3.51036
57	3.41192
58	3.38057
59	3.48863
60	3.3468
61	2.89504
62	2.35676
63	0
