-63	1.41498
-62	0.873398
-61	0.857478
-60	0.915402
-59	0.891928
-58	1.30955
-57	1.62135
-56	2.14941
-55	20.6029
-54	36.949
-53	51.6375
-52	65.2892
-51	77.3824
-50	89.1349
-49	98.2273
-48	107
-47	115.204
-46	122.617
-45	128.401
-44	132.01
-43	135.563
-42	139.238
-41	143.141
-40	147.233
-39	150.801
-38	154.625
-37	158.077
-36	160.75
-35	161.775
-34	160.589
-33	158.191
-32	154.859
-31	150.845
-30	146.622
-29	142.815
-28	139.201
-27	135.115
-26	131.423
-25	128.132
-24	125.218
-23	122.886
-22	120.921
-21	119.268
-20	117.909
-19	117.568
-18	117.872
-17	118.103
-16	117.918
-15	117.058
-14	115.932
-13	113.83
-12	110.828
-11	106.432
-10	100.406
-9	92.9707
-8	84.4076
-7	75.1503
-6	65.0941
-5	54.4537
-4	43.0945
-3	30.8131
-2	17.5351
-1	4.15501
0	14.7869
1	28.5664
2	41.1065
3	52.7649
4	63.5932
5	73.7547
6	83.0185
7	91.7229
8	99.695
9	106.466
10	111.677
11	115.374
12	118.07
13	120
14	121.074
15	121.885
16	122.165
17	122.228
18	122.33
19	122.976
20	124.655
21	126.608
22	128.852
23	131.335
24	134.087
25	137.611
26	141.267
27	144.634
28	147.179
29	149.675
30	152.752
31	155.655
32	158.005
33	159.78
34	160.417
35	159.129
36	156.052
37	152.329
38	148.437
39	144.599
40	140.936
41	137.168
42	133.529
43	129.97
44	126.125
45	120.44
46	113.005
47	104.841
48	96.1717
49	87.1188
50	75.2661
51	63.3404
52	49.9582
53	35.5579
54	20.5443
55	4.00012
56	3.69996
57	3.45978
58	3.34527
59	3.23524
60	3.09497
61	2.88642
62	2.45159
63	0
